Points,Threads,Pi,Error,Time
100000,1,3.14928,0.244696,0.0020181
500000,1,3.14298,0.0442879,0.0079964
1000000,1,3.14304,0.0461978,0.0145083
5000000,1,3.14155,0.00137044,0.0726837
100000,2,3.13636,0.166561,0.0008354
100000,4,3.14332,0.0549831,0.0006873
100000,8,3.1416,0.000233843,0.0007729
100000,16,3.13908,0.0799802,0.0014246
500000,2,3.14026,0.0422924,0.0043836
500000,4,3.14256,0.0307916,0.0033545
500000,8,3.14506,0.110496,0.0024679
500000,16,3.14156,0.0010394,0.0027074
1000000,2,3.14246,0.0277358,0.0073975
1000000,4,3.13975,0.0585898,0.0047511
1000000,8,3.14023,0.0434383,0.0038637
1000000,16,3.14153,0.00205799,0.0043718
5000000,2,3.14203,0.0139084,0.0370226
5000000,4,3.14174,0.00463925,0.0243206
5000000,8,3.14267,0.0342803,0.0193368
5000000,16,3.14111,0.0152997,0.0177746
